Model,Scenario,Region,Variable,Unit,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP1-Baseline,World,CO2 emissions,Gigatonnes,40.06900391,42.65323405,43.7784961,42.45475782,41.60192839,39.21753158,33.39229395,28.6184139,24.61291358
MESSAGE-GLOBIOM,SSP2-Baseline,World,CO2 emissions,Gigatonnes,42.26242525,46.72755065,51.6064515,56.65162919,61.40226901,65.996979,74.13362928,81.02837688,85.68420439
AIM/CGE,SSP3-Baseline,World,CO2 emissions,Gigatonnes,48.5027069,55.0008865,59.8773054,64.001363,67.9622952,71.7926657,75.5714584,80.1371834,85.2149655
GCAM4,SSP4-Baseline,World,CO2 emissions,Gigatonnes,41.63602705,49.06957024,53.84692881,55.6644374,56.95397666,55.89820847,51.17292299,47.53271876,44.78472173
REMIND-MAGPIE,SSP5-Baseline,World,CO2 emissions,Gigatonnes,44.6103893,56.726452,69.861617,84.4364661,101.3016164,117.4998259,129.4993478,130.3975318,126.0976827
