,SSP1,SSP2,SSP3,SSP4,SSP5
Total Cost,0.708,0.6426,0.5768,0.6401,0.6577
Total Mitigation,0.2351,0.156,0.1505,0.1757,0.1715
Total Removal,0.3361,0.2359,0.2326,0.2649,0.2435
