output_type,SSP1,SSP2,SSP3,SSP4,SSP5
totalcost,1065.209420051121,738.1113084483189,515.6360209455742,688.5426792432763,1147.2734391703734
totalmitigation,118.14765804511349,170.33753033289167,188.00553460446847,147.69156425080283,326.6075636774848
totalremoval,109.99477922102844,174.7951284421945,182.27386728215367,143.32565325403817,318.30585731780366
