output_type,SSP1,SSP2,SSP3,SSP4,SSP5
totalcost,1504.4489766047045,1148.710141452304,893.98932812723,1075.72275727374,1744.255506862751
totalmitigation,502.48165993164145,1091.9238957843563,1249.1200227742938,840.5918280013121,1904.0883016030093
totalremoval,327.2992476558679,740.9660241555495,783.7253522167861,541.0289326492839,1307.3394898973295
