ssp,timestamp,output_type,count,mean,median,std,min,q1_p25,q3_p75,max,skewness
SSP1,20251030_134512,totalcost,19729,1504.4489766047045,1240.3029472198,1065.209420051121,81.9666425912246,711.729408697989,2028.40059515716,6204.90752583872,1.1779638123754756
SSP1,20251030_134512,totalmitigation,19729,502.48165993164145,508.148356916558,118.14765804511349,150.396037926615,420.885494205043,586.025873546343,869.484961249729,-0.1331282334275864
SSP1,20251030_134512,totalremoval,19729,327.2992476558679,325.188524630377,109.99477922102844,70.7364591207823,243.701404847236,408.817331327855,658.571407888255,0.10567460598531954
SSP2,20251030_233350,totalcost,19733,1148.710141452304,981.740887947897,738.1113084483189,78.4339925318202,604.954143213606,1517.52723901341,4858.93527276645,1.1400309313620614
SSP2,20251030_233350,totalmitigation,19733,1091.9238957843563,1086.69732234468,170.33753033289167,532.01966481256,974.809956237131,1202.65021277907,1916.52904987024,0.21050763406014875
SSP2,20251030_233350,totalremoval,19733,740.9660241555495,741.841673102085,174.7951284421945,144.7734288961,612.352006211822,868.787226468299,1286.44009410037,-0.006000898343472789
SSP3,20251031_045317,totalcost,19733,893.98932812723,806.391522918056,515.6360209455742,67.1003586751077,507.616009869791,1177.5240923479,3349.59017342507,0.8941571315837842
SSP3,20251031_045317,totalmitigation,19733,1249.1200227742938,1252.36983016875,188.00553460446847,626.989771678216,1119.3432196607,1382.29246936156,1880.70055646308,-0.11702045268590527
SSP3,20251031_045317,totalremoval,19733,783.7253522167861,776.72399277849,182.27386728215367,292.045636315658,647.804372456726,914.174800883019,1394.08915976523,0.1648508354003914
SSP4,20251031_094637,totalcost,19732,1075.72275727374,932.7245788172524,688.5426792432763,69.8136237057262,561.4746210981098,1432.73748168025,4103.33773550744,1.0506544966394287
SSP4,20251031_094637,totalmitigation,19732,840.5918280013121,840.832447817585,147.69156425080283,351.791946734959,737.9483265134386,943.6930017768868,1323.94111045377,-0.0334543832568111
SSP4,20251031_094637,totalremoval,19732,541.0289326492839,537.7820180833725,143.32565325403817,171.605015249357,433.8555780391045,644.634238724014,1020.1674480279,0.1190494612773854
SSP5,20251029_091916,totalcost,19732,1744.255506862751,1436.21842749275,1147.2734391703734,142.728323050075,936.6344536638715,2261.56320894688,8657.32502562527,1.4535698249622848
SSP5,20251029_091916,totalmitigation,19732,1904.0883016030093,1862.5424207202,326.6075636774848,575.495363380246,1705.3395733894326,2030.3278338883374,3415.89612590577,1.7751621262203203
SSP5,20251029_091916,totalremoval,19732,1307.3394898973295,1347.557712100515,318.30585731780366,2.8075697381064e-06,1164.6856561826075,1509.2436796395625,2801.53337155571,-1.4098635560577533
