output_type,SSP1,SSP2,SSP3,SSP4,SSP5
totalcost,1240.3029472198,981.740887947897,806.391522918056,932.7245788172524,1436.21842749275
totalmitigation,508.148356916558,1086.69732234468,1252.36983016875,840.832447817585,1862.5424207202
totalremoval,325.188524630377,741.841673102085,776.72399277849,537.7820180833725,1347.557712100515
