ssp,timestamp,output_type,variable,count,missing,robustness_category,cv,relative_iqr_pct,relative_ci90_pct,interpretation,mean,median,std,min,p5,q1_p25,q2_p50_median,q3_p75,p95,max,range,iqr,ci90_width,skewness,kurtosis,symmetry_ratio,variance,mad,sem,mode
SSP1,20251030_134512,totalcost,Total Cost,19729,0,Sensitive,0.7080395790192398,106.15722468535242,276.8350732515008,High sensitivity to parameter uncertainty (highly skewed distribution),1504.4489766047045,1240.3029472198,1065.209420051121,81.9666425912246,268.2403291094376,711.729408697989,1240.3029472198,2028.40059515716,3701.8339015858937,6204.90752583872,6122.940883247496,1316.6711864591712,3433.5935724764563,1.1779638123754756,1.1423175439268412,2.53227611936274,1134671.1085656458,614.5721317849,7.583723004449972,81.9666425912246
SSP1,20251030_134512,totalmitigation,Total Mitigation,19729,0,Moderate,0.23512829913272162,32.498457801452126,77.19817954803506,Moderate sensitivity to parameter uncertainty,502.48165993164145,508.148356916558,118.14765804511349,150.396037926615,299.5709291018362,420.885494205043,508.148356916558,586.025873546343,691.8522100446706,869.484961249729,719.088923323114,165.14037934129993,392.2812809428344,-0.1331282334275864,-0.36927779518996573,0.880746565209807,13958.86910154507,81.87916549660298,0.8411483182298704,150.396037926615
SSP1,20251030_134512,totalremoval,Total Removal,19729,0,Sensitive,0.33606792563324256,50.77544684834643,110.24584888796898,High sensitivity to parameter uncertainty,327.2992476558679,325.188524630377,109.99477922102844,70.7364591207823,151.325128737634,243.701404847236,325.188524630377,408.817331327855,509.8319782026552,658.571407888255,587.8349487674726,165.115926480619,358.5068494650212,0.10567460598531954,-0.6933982549258655,1.0620030318870883,12098.85145588279,82.68522516921797,0.7831041688571211,70.7364591207823
SSP2,20251030_233350,totalcost,Total Cost,19733,0,Sensitive,0.6425566222608006,92.95457762865797,243.25613141084497,High sensitivity to parameter uncertainty (highly skewed distribution),1148.710141452304,981.740887947897,738.1113084483189,78.4339925318202,258.254610565314,604.954143213606,981.740887947897,1517.52723901341,2646.3995150658466,4858.93527276645,4780.50128023463,912.573095799804,2388.1449045005324,1.1400309313620614,1.207804044580019,2.3008848670085693,544808.3036592895,432.986473172523,5.254426255055496,78.4339925318202
SSP2,20251030_233350,totalmitigation,Total Mitigation,19733,0,Moderate,0.15599762125412042,20.966303298727766,51.27104734098638,Moderate sensitivity to parameter uncertainty,1091.9238957843563,1086.69732234468,170.33753033289167,532.01966481256,820.3701655448754,974.809956237131,1086.69732234468,1202.65021277907,1377.5312641374476,1916.52904987024,1384.50938505768,227.84025654193897,557.1610985925722,0.21050763406014875,0.21672937049952123,1.0920175970315498,29014.874239908793,113.90017503644503,1.2125894581997532,532.01966481256
SSP2,20251030_233350,totalremoval,Total Removal,19733,0,Moderate,0.2359016780039298,34.567378667764444,76.8292846440759,Moderate sensitivity to parameter uncertainty,740.9660241555495,741.841673102085,174.7951284421945,144.7734288961,455.766082707624,612.352006211822,741.841673102085,868.787226468299,1025.7177333436,1286.44009410037,1141.66666520427,256.435220256477,569.951650635976,-0.006000898343472789,-0.5078032078983248,0.992311367251176,30553.33692712328,127.98507827786204,1.2443219628666242,144.7734288961
SSP3,20251031_045317,totalcost,Total Cost,19733,0,Sensitive,0.576780957806009,83.07479226144888,209.23062796501583,High sensitivity to parameter uncertainty (moderately skewed),893.98932812723,806.391522918056,515.6360209455742,67.1003586751077,219.6617934505644,507.616009869791,806.391522918056,1177.5240923479,1906.8798407086676,3349.59017342507,3282.4898147499625,669.908082478109,1687.2180472581033,0.8941571315837842,0.5922813033468266,1.8756307419250784,265880.50609658455,328.297703666568,3.6706813938462712,67.1003586751077
SSP3,20251031_045317,totalmitigation,Total Mitigation,19733,0,Moderate,0.1505103842518739,20.996134158344347,49.46479010967885,Moderate sensitivity to parameter uncertainty,1249.1200227742938,1252.36983016875,188.00553460446847,626.989771678216,931.0610734346798,1119.3432196607,1252.36983016875,1382.29246936156,1550.5431813245934,1880.70055646308,1253.7107847848638,262.94924970086004,619.4821078899137,-0.11702045268590527,-0.30228483124775885,0.9279963427906985,35346.08104191199,131.17318697738006,1.3383634769099757,626.989771678216
SSP3,20251031_045317,totalremoval,Total Removal,19733,0,Moderate,0.2325736519388937,34.29409042373406,76.78996108608467,Moderate sensitivity to parameter uncertainty,783.7253522167861,776.72399277849,182.27386728215367,292.045636315658,494.5785966603476,647.804372456726,776.72399277849,914.174800883019,1091.0246484612333,1394.08915976523,1102.0435234495721,266.37042842629296,596.4460518008857,0.1648508354003914,-0.4969316294541928,1.113966983005941,33223.76269399217,133.14052932828997,1.2975611982849178,292.045636315658
SSP4,20251031_094637,totalcost,Total Cost,19732,0,Sensitive,0.6400744751261801,93.41051799953111,240.16565206926245,High sensitivity to parameter uncertainty (highly skewed distribution),1075.72275727374,932.7245788172524,688.5426792432763,69.8136237057262,228.88254719782202,561.4746210981098,932.7245788172524,1432.73748168025,2468.9666139245583,4103.33773550744,4033.524111801714,871.2628605821403,2240.084066726736,1.0506544966394287,0.888419160666142,2.1826517401534735,474091.02113950934,418.99077060246856,4.901684020885017,69.8136237057262
SSP4,20251031_094637,totalmitigation,Total Mitigation,19732,0,Moderate,0.17569950043646188,24.46916455204208,58.14790455176488,Moderate sensitivity to parameter uncertainty,840.5918280013121,840.832447817585,147.69156425080283,351.791946734959,593.7521257700384,737.9483265134386,840.832447817585,943.6930017768868,1082.678574967276,1323.94111045377,972.149163718811,205.74467526344824,488.9264491972376,-0.0334543832568111,-0.2487916505794483,0.9788158164337817,21812.798150849023,102.87190191997695,1.0514052394011308,351.791946734959
