Scenario,Year,GDP
SSP3 - 3.4,2050,1.66465E+14
SSP3 - 3.4,2060,1.80398E+14
SSP3 - 3.4,2070,1.94768E+14
SSP3 - 3.4,2080,2.09457E+14
SSP3 - 3.4,2090,2.24628E+14
SSP3 - 3.4,2100,2.42381E+14
SSP3 - 4.5,2005,5.47281E+13
SSP3 - 4.5,2010,6.48081E+13
SSP3 - 4.5,2020,9.74009E+13
SSP3 - 4.5,2030,1.30217E+14
SSP3 - 4.5,2040,1.52586E+14
SSP3 - 4.5,2050,1.69715E+14
SSP3 - 4.5,2060,1.83171E+14
SSP3 - 4.5,2070,1.98975E+14
SSP3 - 4.5,2080,2.15664E+14
SSP3 - 4.5,2090,2.3259E+14
SSP3 - 4.5,2100,2.50727E+14
SSP3 - 6.0,2005,5.47281E+13
SSP3 - 6.0,2010,6.48081E+13
SSP3 - 6.0,2020,9.74009E+13
SSP3 - 6.0,2030,1.30227E+14
SSP3 - 6.0,2040,1.53366E+14
SSP3 - 6.0,2050,1.71504E+14
SSP3 - 6.0,2060,1.87411E+14
SSP3 - 6.0,2070,2.04083E+14
SSP3 - 6.0,2080,2.21346E+14
SSP3 - 6.0,2090,2.40089E+14
SSP3 - 6.0,2100,2.61543E+14
SSP3 - Baseline,2005,5.47281E+13
SSP3 - Baseline,2010,6.48127E+13
SSP3 - Baseline,2020,9.7448E+13
SSP3 - Baseline,2030,1.30402E+14
SSP3 - Baseline,2040,1.54577E+14
SSP3 - Baseline,2050,1.73654E+14
SSP3 - Baseline,2060,1.90084E+14
SSP3 - Baseline,2070,2.07896E+14
SSP3 - Baseline,2080,2.26734E+14
SSP3 - Baseline,2090,2.47081E+14
SSP3 - Baseline,2100,2.70265E+14
SSP4 - 2.6,2005,
SSP4 - 2.6,2010,6.6937E+13
SSP4 - 2.6,2020,9.98381E+13
SSP4 - 2.6,2030,1.41506E+14
SSP4 - 2.6,2040,1.82409E+14
SSP4 - 2.6,2050,2.19016E+14
SSP4 - 2.6,2060,2.51509E+14
SSP4 - 2.6,2070,2.81643E+14
SSP4 - 2.6,2080,3.07317E+14
SSP4 - 2.6,2090,3.30199E+14
SSP4 - 2.6,2100,3.5212E+14
SSP4 - 3.4,2005,
SSP4 - 3.4,2010,6.6937E+13
SSP4 - 3.4,2020,9.98226E+13
SSP4 - 3.4,2030,1.41254E+14
SSP4 - 3.4,2040,1.82424E+14
SSP4 - 3.4,2050,2.19114E+14
SSP4 - 3.4,2060,2.51626E+14
SSP4 - 3.4,2070,2.81788E+14
SSP4 - 3.4,2080,3.07379E+14
SSP4 - 3.4,2090,3.30348E+14
SSP4 - 3.4,2100,3.52091E+14
SSP4 - 4.5,2005,
SSP4 - 4.5,2010,6.6937E+13
SSP4 - 4.5,2020,9.98226E+13
SSP4 - 4.5,2030,1.41254E+14
SSP4 - 4.5,2040,1.82424E+14
SSP4 - 4.5,2050,2.19114E+14
SSP4 - 4.5,2060,2.51626E+14
SSP4 - 4.5,2070,2.81788E+14
SSP4 - 4.5,2080,3.07379E+14
SSP4 - 4.5,2090,3.30348E+14
SSP4 - 4.5,2100,3.52091E+14
SSP4 - 6.0,2005,
SSP4 - 6.0,2010,6.6937E+13
SSP4 - 6.0,2020,9.98226E+13
SSP4 - 6.0,2030,1.41254E+14
SSP4 - 6.0,2040,1.82424E+14
SSP4 - 6.0,2050,2.19114E+14
SSP4 - 6.0,2060,2.51626E+14
SSP4 - 6.0,2070,2.81788E+14
SSP4 - 6.0,2080,3.07379E+14
SSP4 - 6.0,2090,3.30348E+14
SSP4 - 6.0,2100,3.52091E+14
SSP4 - Baseline,2005,5.67139E+13
SSP4 - Baseline,2010,6.6937E+13
SSP4 - Baseline,2020,9.98226E+13
SSP4 - Baseline,2030,1.41254E+14
SSP4 - Baseline,2040,1.82424E+14
SSP4 - Baseline,2050,2.19114E+14
SSP4 - Baseline,2060,2.51626E+14
SSP4 - Baseline,2070,2.81788E+14
SSP4 - Baseline,2080,3.07379E+14
SSP4 - Baseline,2090,3.30348E+14
SSP4 - Baseline,2100,3.52091E+14
SSP5 - 1.9,2005,5.669E+13
SSP5 - 1.9,2010,6.757E+13
SSP5 - 1.9,2020,1.019E+14
SSP5 - 1.9,2030,1.628E+14
SSP5 - 1.9,2040,2.466E+14
SSP5 - 1.9,2050,3.384E+14
SSP5 - 1.9,2060,4.406E+14
SSP5 - 1.9,2070,5.6E+14
SSP5 - 1.9,2080,6.865E+14
SSP5 - 1.9,2090,8.19E+14
SSP5 - 1.9,2100,9.601E+14
SSP5 - 2.6,2005,5.669E+13
SSP5 - 2.6,2010,6.757E+13
SSP5 - 2.6,2020,1.019E+14
SSP5 - 2.6,2030,1.647E+14
SSP5 - 2.6,2040,2.545E+14
SSP5 - 2.6,2050,3.516E+14
SSP5 - 2.6,2060,4.56E+14
SSP5 - 2.6,2070,5.768E+14
SSP5 - 2.6,2080,7.033E+14
SSP5 - 2.6,2090,8.336E+14
SSP5 - 2.6,2100,9.752E+14
SSP5 - 3.4,2005,5.669E+13
SSP5 - 3.4,2010,6.757E+13
SSP5 - 3.4,2020,1.019E+14
SSP5 - 3.4,2030,1.648E+14
SSP5 - 3.4,2040,2.558E+14
SSP5 - 3.4,2050,3.554E+14
SSP5 - 3.4,2060,4.626E+14
SSP5 - 3.4,2070,5.84E+14
SSP5 - 3.4,2080,7.133E+14
SSP5 - 3.4,2090,8.471E+14
SSP5 - 3.4,2100,9.867E+14
SSP5 - 4.5,2005,5.669E+13
SSP5 - 4.5,2010,6.757E+13
SSP5 - 4.5,2020,1.019E+14
SSP5 - 4.5,2030,1.649E+14
SSP5 - 4.5,2040,2.564E+14
SSP5 - 4.5,2050,3.574E+14
SSP5 - 4.5,2060,4.666E+14
SSP5 - 4.5,2070,5.895E+14
SSP5 - 4.5,2080,7.228E+14
SSP5 - 4.5,2090,8.632E+14
SSP5 - 4.5,2100,1.012E+15
SSP5 - 6.0,2005,5.669E+13
SSP5 - 6.0,2010,6.757E+13
SSP5 - 6.0,2020,1.019E+14
SSP5 - 6.0,2030,1.654E+14
SSP5 - 6.0,2040,2.583E+14
SSP5 - 6.0,2050,3.611E+14
