,Total Cost - S1 (First-order),Total Cost - S1_conf,Total Cost - ST (Total-order),Total Cost - ST_conf,Total Cost - Interaction (ST-S1),Total Mitigation - S1 (First-order),Total Mitigation - S1_conf,Total Mitigation - ST (Total-order),Total Mitigation - ST_conf,Total Mitigation - Interaction (ST-S1),Total Removal - S1 (First-order),Total Removal - S1_conf,Total Removal - ST (Total-order),Total Removal - ST_conf,Total Removal - Interaction (ST-S1)
TCRE,0.010724867341359157,0.002660308867224576,0.02063201072723403,0.0007698157461756498,0.009907143385874872,0.24131834565355267,0.00965820782112678,0.25805279050729535,0.005280872370894051,0.016734444853742675,0.28802922147706556,0.010122321643072895,0.30439402834459106,0.006760745213902602,0.016364806867525505
Economic damage coefficient (per °C),0.4935058331862769,0.013580156464737857,0.5819066839352686,0.013557160614572244,0.08840085074899168,0.09536780421174955,0.007179777221379945,0.1403201344014182,0.003566565042624362,0.04495233018966864,0.08807467997420812,0.0061338602976092164,0.13267788399971975,0.003514949202806161,0.04460320402551163
Discount rate,0.40041048590572115,0.01401616551546622,0.4862464192866884,0.012725546239937529,0.08583593338096723,0.017335767844158592,0.002927592933646048,0.026244458663959472,0.0007966164646930978,0.00890869081980088,0.015930315223394154,0.0034384120327042677,0.02476207688202248,0.0008022385878636969,0.008831761658628326
Mitigation cost (1st Gt CO₂),0.0006938596506344668,0.0005647400871639774,0.0012911617884511224,4.208660171874013e-05,0.0005973021378166556,0.05417182507757937,0.005291194136602623,0.06863935807741303,0.0017795206024374627,0.014467532999833659,0.050297125443199954,0.004967528347827589,0.0643486908413703,0.0017801473635129295,0.014051565398170353
CDR cost (1st Gt CO₂),0.0022826738572735207,0.0011984500037318531,0.0047309690070296,0.00020868210061062844,0.002448295149756079,0.48725662084574517,0.011461522119383392,0.52036047434772,0.010582166282507525,0.03310385350197487,0.4544563467013292,0.011080727120620937,0.48598939940501185,0.010095738478396918,0.031533052703682674
Mitigation cost (50th Gt CO₂),8.951270888368437e-05,0.0003347136950642176,0.00023662090410972732,8.322988616760525e-06,0.00014710819522604295,0.01470441987590434,0.002442092092977557,0.016590362829213008,0.00038590461290706046,0.001885942953308668,0.013494130484524101,0.002219600139939764,0.01579076202898412,0.00036871635044432005,0.002296631544460019
CDR cost (50th Gt CO₂),0.00037871305464405586,0.0005381092989538512,0.0007336459396101415,8.999112197050675e-05,0.0003549328849660857,0.028589208348975038,0.004206918471131498,0.044903494213101816,0.001802600677543521,0.01631428586412678,0.026284337964668794,0.00399126895310502,0.0425018487604411,0.0017597481133430867,0.016217510795772307
