,r2_train,r2_test,rmse_test,mae_test,overfit_gap,n_estimators_used
Total Cost,0.9941184247622626,0.9852989840696925,142.1472260846711,75.11824011327835,0.008819440692570124,1000.0
Total Mitigation,0.9438012120331808,0.8546185797359462,122.78327274099644,57.33657733970946,0.08918263229723455,1000.0
Total Removal,0.9385580074722106,0.8452887677795787,124.38744733404424,58.11494049372796,0.0932692396926319,1000.0
