,First-order Index,First-order Index Confidence,Total-order Index,Total-order Index Confidence
tcre,0.4502448894055483,0.08261623987963726,0.5498870716986792,0.09320722582925609
econdampct,0.42815792855680906,0.08041850375543161,0.50873735163632,0.08311615886954815
discrate,-0.00022941558028053904,0.021951585777526247,0.026187633579968672,0.014237888703431277
costmitiglow,0.004139790441312224,0.01507831704969806,0.023662744414103643,0.007352788073854662
costremovlow,-0.0006461418824982873,0.020633605178449477,0.017788142738177717,0.011123800900550053
costmitigpeak,0.0005429779179559302,0.0015532934012363905,0.000284299097621131,0.00023589509067528137
costremovpeak,0.0004327418678062827,0.0018006868882104064,0.00020447485661840586,4.7055757355230636e-05
