,SSP1_Total Cost_S1,SSP1_Total Cost_S1_conf,SSP1_Total Cost_ST,SSP1_Total Cost_ST_conf,SSP1_Total Cost_Interaction,SSP1_Total Mitigation_S1,SSP1_Total Mitigation_S1_conf,SSP1_Total Mitigation_ST,SSP1_Total Mitigation_ST_conf,SSP1_Total Mitigation_Interaction,SSP1_Total Removal_S1,SSP1_Total Removal_S1_conf,SSP1_Total Removal_ST,SSP1_Total Removal_ST_conf,SSP1_Total Removal_Interaction,SSP2_Total Cost_S1,SSP2_Total Cost_S1_conf,SSP2_Total Cost_ST,SSP2_Total Cost_ST_conf,SSP2_Total Cost_Interaction,SSP2_Total Mitigation_S1,SSP2_Total Mitigation_S1_conf,SSP2_Total Mitigation_ST,SSP2_Total Mitigation_ST_conf,SSP2_Total Mitigation_Interaction,SSP2_Total Removal_S1,SSP2_Total Removal_S1_conf,SSP2_Total Removal_ST,SSP2_Total Removal_ST_conf,SSP2_Total Removal_Interaction,SSP3_Total Cost_S1,SSP3_Total Cost_S1_conf,SSP3_Total Cost_ST,SSP3_Total Cost_ST_conf,SSP3_Total Cost_Interaction,SSP3_Total Mitigation_S1,SSP3_Total Mitigation_S1_conf,SSP3_Total Mitigation_ST,SSP3_Total Mitigation_ST_conf,SSP3_Total Mitigation_Interaction,SSP3_Total Removal_S1,SSP3_Total Removal_S1_conf,SSP3_Total Removal_ST,SSP3_Total Removal_ST_conf,SSP3_Total Removal_Interaction,SSP4_Total Cost_S1,SSP4_Total Cost_S1_conf,SSP4_Total Cost_ST,SSP4_Total Cost_ST_conf,SSP4_Total Cost_Interaction,SSP4_Total Mitigation_S1,SSP4_Total Mitigation_S1_conf,SSP4_Total Mitigation_ST,SSP4_Total Mitigation_ST_conf,SSP4_Total Mitigation_Interaction,SSP4_Total Removal_S1,SSP4_Total Removal_S1_conf,SSP4_Total Removal_ST,SSP4_Total Removal_ST_conf,SSP4_Total Removal_Interaction,SSP5_Total Cost_S1,SSP5_Total Cost_S1_conf,SSP5_Total Cost_ST,SSP5_Total Cost_ST_conf,SSP5_Total Cost_Interaction,SSP5_Total Mitigation_S1,SSP5_Total Mitigation_S1_conf,SSP5_Total Mitigation_ST,SSP5_Total Mitigation_ST_conf,SSP5_Total Mitigation_Interaction,SSP5_Total Removal_S1,SSP5_Total Removal_S1_conf,SSP5_Total Removal_ST,SSP5_Total Removal_ST_conf,SSP5_Total Removal_Interaction
TCRE,0.004572706622409113,0.0018104331748108507,0.009394807689067532,0.0003083469108524722,0.004822101066658419,0.6223345184676172,0.014894289681971883,0.6421927927905959,0.010340766301267951,0.01985827432297871,0.5643568359722905,0.013020454572474301,0.5880751837524352,0.011673832616508452,0.0237183477801447,0.010724867341359157,0.002660308867224576,0.02063201072723403,0.0007698157461756498,0.009907143385874872,0.24131834565355267,0.00965820782112678,0.25805279050729535,0.005280872370894051,0.016734444853742675,0.28802922147706556,0.010122321643072895,0.30439402834459106,0.006760745213902602,0.016364806867525505,0.005744942872415523,0.0023046436333415844,0.014372539599343518,0.0005525364694468658,0.008627596726927995,0.24483836916328983,0.009609309115085186,0.2520928672185963,0.004789915200558868,0.00725449805530648,0.20218959372506146,0.008264856662195173,0.21089231944545472,0.00457459719500992,0.008702725720393267,0.0059276886502375985,0.0022132690017444526,0.012936527747204971,0.00046727347324263376,0.007008839096967373,0.3807322098698717,0.01189796328679919,0.39448755157578647,0.007148779082513139,0.013755341705914748,0.34729248822111336,0.010329668221489752,0.36161001017145733,0.007875315313179915,0.01431752195034397,0.012732416078372812,0.0032365674503912574,0.027260859928017356,0.0011723428113559456,0.014528443849644544,0.11885552329591986,0.00795034099476729,0.168123796138589,0.006518781861456524,0.04926827284266913,0.06736034840452643,0.007144312218753652,0.11670405350389876,0.003229362002638037,0.04934370509937233
Economic damage coefficient (per °C),0.4963483994742209,0.013638293628290523,0.5990110065457163,0.014269153447933518,0.10266260707149538,0.03365884110368038,0.0050435234679694005,0.06444707528263345,0.0018520686663708555,0.030788234178953072,0.04038619819259987,0.004515825422411745,0.07415119238641137,0.0023473354866780753,0.033764994193811494,0.4935058331862769,0.013580156464737857,0.5819066839352686,0.013557160614572244,0.08840085074899168,0.09536780421174955,0.007179777221379945,0.1403201344014182,0.003566565042624362,0.04495233018966864,0.08807467997420812,0.0061338602976092164,0.13267788399971975,0.003514949202806161,0.04460320402551163,0.5551927392429239,0.01427628734325532,0.6223254429967522,0.013604238884273033,0.0671327037538283,0.026588632685450458,0.004566341834789265,0.051896346604208735,0.0015316231780810254,0.025307713918758277,0.027227194544106707,0.004038352380117077,0.05364343436414224,0.0016983864976103638,0.026416239820035534,0.5324006285260995,0.014095851590847855,0.619860353960674,0.01409128106846531,0.08745972543457448,0.046226684846766536,0.005760616255582751,0.08082295924983558,0.0022598293347925167,0.03459627440306905,0.048173495252786164,0.004783052404422467,0.08415275433029196,0.0025598466746189694,0.03597925907750579,0.40274253710896873,0.01294739274567953,0.5019667639711775,0.013684811131353156,0.09922422686220872,0.026446406578154103,0.007777864143789208,0.15248935725540264,0.006504436134567244,0.12604295067724852,0.02646586075295067,0.007970525115576048,0.1565884371469364,0.0065941463045766455,0.13012257639398572
Discount rate,0.3945198305282454,0.014392991585116494,0.495578100184596,0.012750067928908483,0.10105826965635062,0.0028635090631615573,0.0012520087641465188,0.00552614933992043,0.0001929078890728694,0.0026626402767588723,0.0032607767411552114,0.0016508773480956773,0.006173010051012149,0.00023943697415506146,0.0029122333098569376,0.40041048590572115,0.01401616551546622,0.4862464192866884,0.012725546239937529,0.08583593338096723,0.017335767844158592,0.002927592933646048,0.026244458663959472,0.0007966164646930978,0.00890869081980088,0.015930315223394154,0.0034384120327042677,0.02476207688202248,0.0008022385878636969,0.008831761658628326,0.3628469399094896,0.012838539287740765,0.42682783109754585,0.010761835990724023,0.06398089118805628,0.006860648136000542,0.0021010252879359935,0.014574915519499564,0.0005702916809077014,0.007714267383499022,0.007087615804186981,0.0026218745898979544,0.014602401547945962,0.0005940559821613845,0.007514785743758981,0.36947058805602073,0.013546788589763643,0.45436969678684846,0.01169248859884815,0.08489910873082773,0.007265409389648494,0.0018685936838156278,0.012844824981883541,0.00043804134948643194,0.005579415592235047,0.007546191495598344,0.0024696941632744813,0.013251248831501743,0.0004890520101237917,0.005705057335903398,0.4519518773797644,0.01456926215247331,0.547386492236271,0.014506255383444027,0.09543461485650662,0.005048833182103955,0.004563197478827516,0.05128368424237873,0.0027470971563929615,0.04623485106027478,0.00552720734034424,0.004555197116189753,0.05342621280048902,0.0026373455739830513,0.047899005460144785
Mitigation cost (1st Gt CO₂),0.00022502648909414956,0.0004161228646064317,0.0006307750026303661,2.1240182101937184e-05,0.0004057485135362165,0.03696023726411221,0.004403562288539311,0.04473555942611764,0.0011984216382766595,0.007775322162005431,0.04242724897980737,0.004530517008628784,0.0516069977429607,0.0014431401392669243,0.009179748763153334,0.0006938596506344668,0.0005647400871639774,0.0012911617884511224,4.208660171874013e-05,0.0005973021378166556,0.05417182507757937,0.005291194136602623,0.06863935807741303,0.0017795206024374627,0.014467532999833659,0.050297125443199954,0.004967528347827589,0.0643486908413703,0.0017801473635129295,0.014051565398170353,0.0018154971056360302,0.0008157883975601216,0.002446317281616533,7.431213532210632e-05,0.0006308201759805028,0.07944863263545655,0.005937453180403759,0.0894193951241873,0.002010366863860662,0.009970762488730744,0.08470045194407884,0.006180237942285172,0.09516832704288979,0.0023092360710300647,0.010467875098810947,0.00038348062241460787,0.0006063765600459838,0.001206909240899748,3.5174627640809347e-05,0.0008234286184851401,0.06072144916947079,0.005293913417483395,0.07268764696625782,0.001814525348382298,0.01196619779678703,0.06485247313360552,0.005517095453837317,0.07678669967931187,0.002046574278395812,0.011934226545706347,0.001291394354322872,0.0008093552206678455,0.0016366965581845452,5.619695691281649e-05,0.0003453022038616732,0.01838051811716566,0.0033468801415355827,0.027567406226282287,0.0009895682293243001,0.009186888109116626,0.0192834308518063,0.003547790751956743,0.029648946801733023,0.0010316077849784123,0.010365515949926723
CDR cost (1st Gt CO₂),0.00023867793518850145,0.0004739178768655777,0.000748721274506943,2.5847288707941477e-05,0.0005100433393184416,0.2526863644263212,0.008442511481644233,0.2687446288044744,0.005712561852326283,0.01605826437815322,0.28944888377776945,0.009372451985545692,0.308891189318213,0.0067326280396931065,0.019442305540443572,0.0022826738572735207,0.0011984500037318531,0.0047309690070296,0.00020868210061062844,0.002448295149756079,0.48725662084574517,0.011461522119383392,0.52036047434772,0.010582166282507525,0.03310385350197487,0.4544563467013292,0.011080727120620937,0.48598939940501185,0.010095738478396918,0.031533052703682674,0.004353922198633936,0.0014727659611148889,0.006272868585789166,0.0001828347815784644,0.0019189463871552301,0.5469507901388194,0.011546357113784234,0.567399741289013,0.010858779002368119,0.02044895115019363,0.5766105844427907,0.012448410918320746,0.5982016290389353,0.011110832442933287,0.021591044596144582,0.0009965554983457326,0.000802965725878522,0.002162066398361556,6.584531522206026e-05,0.0011655109000158232,0.4270264055824077,0.01054591002068138,0.44909406461119333,0.009126519448422223,0.022067659028785658,0.45126669074507386,0.011240527943879258,0.47464089894175676,0.009711114175142354,0.0233742081966829,0.012810059987185506,0.0042738730849334145,0.03521723404384409,0.0021058293345954235,0.022407174056658583,0.45926750637298913,0.015406936659984471,0.6881924403752189,0.024982561269701598,0.22892493400222974,0.4930125720467425,0.014079443612083449,0.7279668611957889,0.026181806078362107,0.23495428914904642
Mitigation cost (50th Gt CO₂),-0.00012384358593403615,0.00024975366971436623,0.00018044429021039823,9.302627781632624e-06,0.0003042878761444344,0.0039398827527193855,0.0012734581017753396,0.004717211454376811,0.00010782003887965775,0.0007773287016574256,0.0045598045265849985,0.0013394944253178975,0.005370208299745458,0.00013066474666789717,0.0008104037731604596,8.951270888368437e-05,0.0003347136950642176,0.00023662090410972732,8.322988616760525e-06,0.00014710819522604295,0.01470441987590434,0.002442092092977557,0.016590362829213008,0.00038590461290706046,0.001885942953308668,0.013494130484524101,0.002219600139939764,0.01579076202898412,0.00036871635044432005,0.002296631544460019,0.0003819948049498151,0.0005213428715554391,0.0006803199914290451,2.4863953046508173e-05,0.00029832518647922995,0.024953258990597603,0.0029216923299867047,0.027065693553745468,0.000604465528100364,0.002112434563147865,0.02634848863404171,0.0030815347250974646,0.0283047658456862,0.0006262211724486641,0.0019562772116444894,-2.045618895518034e-05,0.0003093876204199843,0.00027573569018354133,1.0227504614802096e-05,0.0002961918791387217,0.011530464594357762,0.0019992525295136846,0.012908373013084378,0.00028315876153021756,0.0013779084187266165,0.01184514162186332,0.00205947527121585,0.013298069766712897,0.0002829310839685858,0.0014529281448495777,0.0006518952854152149,0.0008213218076786367,0.0014801444671735942,6.62276886338209e-05,0.0008282491817583793,0.026370682442241583,0.0037385517001801974,0.03382333403868709,0.001020986993628546,0.007452651596445509,0.027572960594879934,0.003916659097687674,0.03575366652200325,0.0009571168157076238,0.008180705927123316
CDR cost (50th Gt CO₂),8.662984040161482e-06,0.000391542211927727,0.00032710394038539285,1.0118874977984188e-05,0.0003184409563452314,0.008705802776233664,0.0021107578717563915,0.012762102844416829,0.0003981797200855757,0.0040563000681831645,0.009856575221790941,0.0021387135509438673,0.01422153693760354,0.0004033521847552562,0.004364961715812599,0.00037871305464405586,0.0005381092989538512,0.0007336459396101415,8.999112197050675e-05,0.0003549328849660857,0.028589208348975038,0.004206918471131498,0.044903494213101816,0.001802600677543521,0.01631428586412678,0.026284337964668794,0.00399126895310502,0.0425018487604411,0.0017597481133430867,0.016217510795772307,0.00020653001066208527,0.0004325618046731371,0.00046362835968508396,1.8943141294543826e-05,0.0002570983490229987,0.031988553076023545,0.003817855846628547,0.04024456248691196,0.0011274739012202247,0.008256009410888415,0.03327008254911235,0.0039838540184208345,0.04251932795208264,0.0011974275214820156,0.009249245402970285,-0.00031020393827501383,0.0003118728545736179,0.0002634370231490056,9.63396239606445e-06,0.0005736409614240194,0.019788695182736595,0.003030433086310286,0.026352604469481365,0.0007708765010393306,0.00656390928674477,0.020902843599476726,0.0031516177673745396,0.027725185514033367,0.0007718016257768876,0.006822341914556641,0.002012437726994469,0.0025010689034719374,0.019987755333108922,0.0016717590825699395,0.01797531760611445,0.021359996013533066,0.012243847573625486,0.3095435900405984,0.014955814169291457,0.28818359402706534,0.024216599904034145,0.014025341455686638,0.3239102065308929,0.015337237090125244,0.2996936066268588
