parameter,S1,S1_conf,ST,ST_conf
tcre,0.008379253474711156,0.0242545547467982,0.027582348366342827,0.00605324596080144
econdampct,0.3426297353532729,0.07371321449909059,0.39553465313272823,0.06902346971110744
discrate,0.5691194301855356,0.10436827837060754,0.6285906598971975,0.09380928263627632
costmitiglow,0.0002443514973320056,0.0017189023837115005,0.0002379612853040541,4.653310165250616e-05
costremovlow,0.0018775882036419314,0.004941500893517781,0.001558219107748641,0.0003170696869732358
costmitigpeak,1.2553023209765986e-05,0.000699993659787469,3.620454748361249e-05,8.410951730404898e-06
costremovpeak,-0.00031531944383250546,0.0008900240826610902,9.0805526790558e-05,4.7808560620176205e-05
