,Total Cost - S1 (First-order),Total Cost - S1_conf,Total Cost - ST (Total-order),Total Cost - ST_conf,Total Cost - Interaction (ST-S1),Total Mitigation - S1 (First-order),Total Mitigation - S1_conf,Total Mitigation - ST (Total-order),Total Mitigation - ST_conf,Total Mitigation - Interaction (ST-S1),Total Removal - S1 (First-order),Total Removal - S1_conf,Total Removal - ST (Total-order),Total Removal - ST_conf,Total Removal - Interaction (ST-S1)
TCRE,0.008057839255161478,0.002259283936227804,0.014969442188722872,0.0005094299532867594,0.006911602933561394,0.24810320507577321,0.009862329062239128,0.26336478324602586,0.005109357569243165,0.015261578170252643,0.2991618487101749,0.009699823503171504,0.3139259011528394,0.006891737519254949,0.014764052442664488
Economic damage coefficient (per °C),0.5056606513309365,0.013309358647990918,0.5830518141808179,0.013220901509645477,0.07739116284988135,0.0923718378310154,0.0068130522092971916,0.13027768813933024,0.0031686744222196223,0.03790585030831485,0.08588950946812243,0.005366582483646673,0.1196081623518808,0.003193543909954522,0.033718652883758374
Discount rate,0.40358158456415444,0.013078714608502387,0.479477629220034,0.011548983459135723,0.07589604465587957,0.011106300249030369,0.002268897006618296,0.016729923204005435,0.000516096870728804,0.005623622954975066,0.010141988122629245,0.002607576426341156,0.014779659376009368,0.0004948315250592936,0.004637671253380124
Mitigation cost (1st Gt CO₂),0.00041212259835768486,0.0004105834268848906,0.0005366670324229169,1.7909335934730677e-05,0.00012454443406523203,0.04592575491110019,0.004531198723804716,0.05742509846320937,0.0012966533459412707,0.01149934355210918,0.0429601184513822,0.004431181734374917,0.05426457866307998,0.0013116217509044023,0.01130446021169778
CDR cost (1st Gt CO₂),0.001414550044953175,0.0010211280644119795,0.0027973665189346413,0.00010209840686731607,0.0013828164739814663,0.5237811313941557,0.011892874398719668,0.5524443440858819,0.010919174662720703,0.028663212691726225,0.4903060696624247,0.011069739654641572,0.5145444638883747,0.010009216123929455,0.024238394225950033
Mitigation cost (50th Gt CO₂),0.00010851901739311258,0.00026466868052238044,0.00020442245860859915,1.0678173284756766e-05,9.590344121548657e-05,0.007726618115212834,0.0017944482769924892,0.008823689838092627,0.00018599575031617022,0.0010970717228797932,0.007335976433916175,0.0017518443491475622,0.008242205148687487,0.0001902206428819388,0.0009062287147713118
CDR cost (50th Gt CO₂),4.6100839721410125e-05,0.00034163206532816977,0.0003344865004692251,2.3849345452161717e-05,0.00028838566074781497,0.019239165148246907,0.0034719430977787746,0.03147332095982985,0.0010112899402627154,0.01223415581158294,0.017069965873581977,0.0031381982315415633,0.02834796730430571,0.0008840757448604032,0.011278001430723734
