,First-order Index,First-order Index Confidence,Total-order Index,Total-order Index Confidence
tcre,0.5046522825644181,0.1172331895184125,0.7635857918102653,0.183893412568046
econdampct,-0.10901889971949588,0.06880074317720661,0.3528570652459865,0.1029535540822416
discrate,-0.005394992097345978,0.041459762083296194,0.1996721826610712,0.045740996160870406
costmitiglow,0.04851964883731387,0.05109531679601177,0.14750280047616196,0.034366919304479396
costremovlow,-0.021045158866734383,0.026537780304824583,0.06534688642054665,0.030591274882982876
costmitigpeak,0.018975554244256048,0.018421708626139923,0.021392791125808774,0.00478111216578759
costremovpeak,0.0005417352317548432,0.011558519319124659,0.013540380306949706,0.0033437190527398145
