,Total Cost - S1 (First-order),Total Cost - S1_conf,Total Cost - ST (Total-order),Total Cost - ST_conf,Total Cost - Interaction (ST-S1),Total Mitigation - S1 (First-order),Total Mitigation - S1_conf,Total Mitigation - ST (Total-order),Total Mitigation - ST_conf,Total Mitigation - Interaction (ST-S1),Total Removal - S1 (First-order),Total Removal - S1_conf,Total Removal - ST (Total-order),Total Removal - ST_conf,Total Removal - Interaction (ST-S1)
TCRE,0.010618428333380241,0.0026107450349885358,0.02053946038611397,0.0008289521698684324,0.009921032052733729,0.12684805307148908,0.0083572010873797,0.1890938496118618,0.008122809071770898,0.06224579654037271,0.06699371402688456,0.006851768520624006,0.12092819693022282,0.003162222292994579,0.05393448290333826
Economic damage coefficient (per °C),0.4124172942243101,0.012433079618786948,0.4953655566245117,0.012257659495146185,0.08294826240020159,0.026113603050179596,0.006206273574079288,0.11112262160007959,0.004711598310242966,0.08500901854989999,0.028099221549568943,0.006364980127735611,0.12129439806910665,0.005141395325602928,0.09319517651953771
Discount rate,0.4709971926069689,0.013920406133316897,0.5515210896181335,0.01354329575210215,0.08052389701116464,0.004079132193321118,0.003621688871815176,0.02723129493491407,0.001608308587013614,0.02315216274159295,0.004302916556075033,0.003815904773666797,0.032016369949240904,0.001946792113153374,0.02771345339316587
Mitigation cost (1st Gt CO₂),0.00039137583368088313,0.0005251425143737497,0.0009402570445424727,4.1281909402866366e-05,0.0005488812108615896,0.012060955842987319,0.0024771021944573197,0.018167816487378568,0.000604075880694462,0.006106860644391249,0.013040784379681317,0.0027188563042400255,0.019605881677502237,0.0006161483558599001,0.00656509729782092
CDR cost (1st Gt CO₂),0.009979553492878254,0.0032171675277691296,0.023097455224332007,0.0013489712149764759,0.013117901731453753,0.5281574104495635,0.016290606751809798,0.7259024089306816,0.022578840663324412,0.19774499848111804,0.56933656022765,0.014420167554192427,0.7747903405270764,0.02305440916975475,0.2054537802994264
Mitigation cost (50th Gt CO₂),0.00023158390723229194,0.0004891299326834505,0.0006504017572033609,2.5567260196553147e-05,0.00041881784997106894,0.022655898158826026,0.0034606854156102773,0.029264870616053464,0.0008220786552292508,0.006608972457227438,0.02679316779967208,0.0037691141710680435,0.03296536843789082,0.0008577368554026403,0.006172200638218741
CDR cost (50th Gt CO₂),0.002096972203793122,0.0019967396843714705,0.010976200377433236,0.000952484325951582,0.008879228173640114,0.014464457081040414,0.01017998890109269,0.24680133691771092,0.012106622317199198,0.2323368798366705,0.01565827487313629,0.011728319150668685,0.26460480039192813,0.012707086608728347,0.24894652551879184
