,Total Cost First-order Index,Total Cost First-order Index Confidence,Total Cost Total-order Index,Total Cost Total-order Index Confidence,Total Mitigation First-order Index,Total Mitigation First-order Index Confidence,Total Mitigation Total-order Index,Total Mitigation Total-order Index Confidence,Total Removal First-order Index,Total Removal First-order Index Confidence,Total Removal Total-order Index,Total Removal Total-order Index Confidence
TCRE,0.006941827664711281,0.018811201667192815,0.024759595132064348,0.008167048342914169,0.10791647451539196,0.05694857154310804,0.17357335730199228,0.05427644650141083,0.09749215109238962,0.043001716152769445,0.13394341182731873,0.03019064911120388
Economic damage coefficient (per °C),0.40827854949227144,0.0791049779676199,0.5225143873386429,0.08242660824188257,0.05478299566012776,0.04883700851259323,0.17744946180210408,0.0524485078199854,0.07936515784533306,0.06992110645260691,0.18247538352130896,0.05753102097742283
Discount rate,0.45602901706251575,0.08953900882566551,0.5603953632936016,0.08114369487509698,0.001246731256506055,0.03326497133416877,0.06086019284379081,0.02916405035442686,0.00839612096724537,0.03184116515769705,0.0676854860331806,0.031371365859734344
Mitigation cost (1st Gt CO₂),0.0010263376129616868,0.0019674958880033884,0.0002465609297423421,8.411886505909835e-05,0.010747701265134774,0.01609089161429879,0.012952949262965467,0.0031219285690420634,0.014217050038875141,0.013892451053305487,0.012813179301519857,0.002708878378842999
CDR cost (1st Gt CO₂),0.007806725641365475,0.014104525265661395,0.01740838318859636,0.0076756676435775035,0.42312107294536555,0.09105759176346168,0.7417692658551406,0.18477957182397653,0.4554236746349536,0.09548204224373318,0.7146489002288338,0.17305363776420837
Mitigation cost (50th Gt CO₂),1.4181327231153036e-05,0.0017338487279508152,0.00018910785115744977,8.104377606692813e-05,0.024356436537268975,0.022161410090179693,0.02240837435379635,0.0046983600938387245,0.013075177942348484,0.01842048524708834,0.023280016732607125,0.005123388822143665
CDR cost (50th Gt CO₂),0.011411583601712641,0.011833318692536482,0.01053940415020803,0.005837526378714892,0.08616468266295216,0.07692202067629607,0.29745327132585453,0.09925879672818164,0.1036447868079358,0.11928420612353469,0.3769869889897847,0.10490773103836268
