,r2_train,r2_test,rmse_test,mae_test,overfit_gap,n_estimators_used
Total Cost,0.9986219905437308,0.9972419855250209,27.30056898645877,19.515645857503074,0.00138000501870994,1000.0
Total Mitigation,0.9961866924898464,0.9929957437068759,15.937280300045597,10.353700250364433,0.0031909487829704375,918.0
Total Removal,0.9959969889637545,0.9921339786796826,16.103147043572207,10.487246539061161,0.003863010284071988,864.0
