,Total Cost - S1 (First-order),Total Cost - S1_conf,Total Cost - ST (Total-order),Total Cost - ST_conf,Total Cost - Interaction (ST-S1),Total Mitigation - S1 (First-order),Total Mitigation - S1_conf,Total Mitigation - ST (Total-order),Total Mitigation - ST_conf,Total Mitigation - Interaction (ST-S1),Total Removal - S1 (First-order),Total Removal - S1_conf,Total Removal - ST (Total-order),Total Removal - ST_conf,Total Removal - Interaction (ST-S1)
TCRE,0.010205734684324412,0.0029860363473386193,0.024366562033735783,0.0011427508561805148,0.01416082734941137,0.10525657338054012,0.008730620511069164,0.2007607574877917,0.011570866565822735,0.09550418410725159,0.05621794577730978,0.007860121735341234,0.13784628137140412,0.005143126007944171,0.08162833559409434
Economic damage coefficient (per °C),0.4072060345767259,0.012951649092227811,0.509638073483543,0.013359910466982969,0.10243203890681707,0.02087678055626393,0.008089562074119235,0.1850600327051478,0.008945848388361351,0.16418325214888385,0.02104190514495352,0.007926254865788166,0.19602246152757138,0.008873741253574338,0.17498055638261786
Discount rate,0.46029620951018224,0.014695832985220508,0.5592487846084229,0.014775552930103372,0.09895257509824062,0.0021690866747280262,0.005058062015709665,0.06292217628997503,0.005156347296256049,0.060753089615247,0.0021023929657639556,0.00541808638455255,0.07591009072435798,0.006167186055895349,0.07380769775859403
Mitigation cost (1st Gt CO₂),9.861097019721898e-06,0.00028233675510455603,0.00020415957561573266,1.056446770857477e-05,0.00019429847859601075,0.007373891172169201,0.0022395306436013306,0.013569953798983507,0.0006893752063918611,0.006196062626814306,0.008107068723464587,0.0024213103052504207,0.01398980255398768,0.0006150708807165256,0.005882733830523092
CDR cost (1st Gt CO₂),0.007521201986718177,0.003167410901449909,0.022106255415480537,0.0015707094141280528,0.01458505342876236,0.4526076134039754,0.017612581754016556,0.7301676181401703,0.027473538982587076,0.2775600047361949,0.48086950620824004,0.01583289130262527,0.7698884930470735,0.027607949138295566,0.2890189868388335
Mitigation cost (50th Gt CO₂),-7.862177893580554e-05,0.00023733664708018394,0.00017199908573650025,2.2888682273564934e-05,0.00025062086467230577,0.017302745156895845,0.00312536160576327,0.022495411467736464,0.0007287470558203974,0.005192666310840619,0.018227739778325314,0.003185461403418693,0.023035613678811358,0.0006876072512852373,0.004807873900486044
CDR cost (50th Gt CO₂),0.0021111762690602474,0.0021081849395354125,0.013473690787883777,0.0013967000986267167,0.01136251451882353,0.013012880124714028,0.012871174122032324,0.36139280080104086,0.017205092561455106,0.34837992067632684,0.013861091475046236,0.014248738618158965,0.38271489235735723,0.018475348063323207,0.368853800882311
