param_i,param_j,S2,S2_conf
tcre,econdampct,"[       nan        nan 0.00602551 0.00866542 0.01634041 0.00480007
 0.00603505]","[       nan        nan 0.05121318 0.04967673 0.05707097 0.04947167
 0.05084115]"
tcre,discrate,"[        nan         nan         nan -0.01081174 -0.01051592 -0.01007175
 -0.01070436]","[       nan        nan        nan 0.03552777 0.03702386 0.03470644
 0.03617424]"
tcre,costmitiglow,"[       nan        nan        nan        nan 0.01073326 0.01000082
 0.01150737]","[       nan        nan        nan        nan 0.04537086 0.03665052
 0.03671806]"
tcre,costremovlow,"[       nan        nan        nan        nan        nan 0.02279787
 0.05631504]","[       nan        nan        nan        nan        nan 0.11867932
 0.11530495]"
tcre,costmitigpeak,"[       nan        nan        nan        nan        nan        nan
 0.00063572]","[       nan        nan        nan        nan        nan        nan
 0.01309442]"
tcre,costremovpeak,[nan nan nan nan nan nan nan],[nan nan nan nan nan nan nan]
