,r2_train,r2_test,rmse_test,mae_test,overfit_gap,n_estimators_used
Total Cost,0.9984779848569664,0.996529911673132,43.8888009897322,28.03441647262424,0.0019480731838343868,1000.0
Total Mitigation,0.9896314376998934,0.9740213519725978,27.811450647367728,13.253793573763533,0.015610085727295608,735.0
Total Removal,0.9914921109646437,0.972494689097066,28.959283428508304,13.078228611761594,0.01899742186757769,1000.0
