,r2_train,r2_test,rmse_test,mae_test
Total Cost,0.9968938785137166,0.9839542034303431,135.19022134284933,72.57445603764371
Total Mitigation,0.9809648847359337,0.8894508236004989,104.21382308280302,51.937643426027655
Total Removal,0.9796890860005116,0.8745065080330502,107.70579529610758,54.024014389300476
