,Total Cost - S1 (First-order),Total Cost - S1_conf,Total Cost - ST (Total-order),Total Cost - ST_conf,Total Cost - Interaction (ST-S1),Total Mitigation - S1 (First-order),Total Mitigation - S1_conf,Total Mitigation - ST (Total-order),Total Mitigation - ST_conf,Total Mitigation - Interaction (ST-S1),Total Removal - S1 (First-order),Total Removal - S1_conf,Total Removal - ST (Total-order),Total Removal - ST_conf,Total Removal - Interaction (ST-S1)
TCRE,0.013372739473736102,0.003070582852248658,0.027288499232621256,0.0010774601909872034,0.013915759758885154,0.1226131032488211,0.008139818214488047,0.17831916069199966,0.0069430620771151015,0.05570605744317855,0.06579882291722548,0.0069872478084839285,0.11804864035361891,0.003385701768036908,0.052249817436393425
Economic damage coefficient (per °C),0.40145874717606,0.012881132073196236,0.4947522411098906,0.013036898746354044,0.09329349393383057,0.026710677859269484,0.006812616039044183,0.12852585950959555,0.005220249116589833,0.10181518165032608,0.02665155812891746,0.006602971582199352,0.13479042050274206,0.0054524968643569075,0.10813886237382461
Discount rate,0.45648698316773934,0.014011905504372079,0.55010632951463,0.014747854769227001,0.09361934634689068,0.004577532040178686,0.004579188513584846,0.047462441395223834,0.0024921474068354183,0.042884909355045145,0.0037226172433865033,0.0042192651278643994,0.046541578355618826,0.002492799858855425,0.04281896111223232
Mitigation cost (1st Gt CO₂),0.0010849724775215833,0.0008000422423069768,0.0020944201453848136,0.0001022771359558767,0.0010094476678632303,0.018655654962375152,0.0035315545915188735,0.029812246255139594,0.0010210018915252739,0.011156591292764442,0.01956315777254184,0.0036174415430336895,0.03119676354803116,0.001064732996275385,0.01163360577548932
CDR cost (1st Gt CO₂),0.013203256971006968,0.00390910514452797,0.0314765938353328,0.0017518390902066584,0.018273336864325834,0.46453623277950273,0.015518481212549402,0.6819773107912432,0.023348152992649175,0.2174410780117405,0.5080144710655375,0.0136050288470838,0.7250320594992078,0.02379925136804582,0.21701758843367025
Mitigation cost (50th Gt CO₂),0.00018373662468848515,0.0006534985244230911,0.0011527590112215668,5.102284414743148e-05,0.0009690223865330816,0.027715076392730666,0.0038695077574121095,0.0361376165750674,0.001185951835561144,0.008422540182336735,0.030775006811019294,0.004001550693323839,0.03825712979643338,0.001154457342774771,0.0074821229854140844
CDR cost (50th Gt CO₂),0.002122374182295806,0.0025462874038255086,0.016720105264234845,0.0012827346855170303,0.014597731081939038,0.019681469309153005,0.012470408338058996,0.2968817970152944,0.013893407486274231,0.2772003277061414,0.01617006793265209,0.013854910468157221,0.30424896854323086,0.013543894459902945,0.2880789006105788
