,Total Cost - S1 (First-order),Total Cost - S1_conf,Total Cost - ST (Total-order),Total Cost - ST_conf,Total Cost - Interaction (ST-S1),Total Mitigation - S1 (First-order),Total Mitigation - S1_conf,Total Mitigation - ST (Total-order),Total Mitigation - ST_conf,Total Mitigation - Interaction (ST-S1),Total Removal - S1 (First-order),Total Removal - S1_conf,Total Removal - ST (Total-order),Total Removal - ST_conf,Total Removal - Interaction (ST-S1)
TCRE,0.0059276886502375985,0.0022132690017444526,0.012936527747204971,0.00046727347324263376,0.007008839096967373,0.3807322098698717,0.01189796328679919,0.39448755157578647,0.007148779082513139,0.013755341705914748,0.34729248822111336,0.010329668221489752,0.36161001017145733,0.007875315313179915,0.01431752195034397
Economic damage coefficient (per °C),0.5324006285260995,0.014095851590847855,0.619860353960674,0.01409128106846531,0.08745972543457448,0.046226684846766536,0.005760616255582751,0.08082295924983558,0.0022598293347925167,0.03459627440306905,0.048173495252786164,0.004783052404422467,0.08415275433029196,0.0025598466746189694,0.03597925907750579
Discount rate,0.36947058805602073,0.013546788589763643,0.45436969678684846,0.01169248859884815,0.08489910873082773,0.007265409389648494,0.0018685936838156278,0.012844824981883541,0.00043804134948643194,0.005579415592235047,0.007546191495598344,0.0024696941632744813,0.013251248831501743,0.0004890520101237917,0.005705057335903398
Mitigation cost (1st Gt CO₂),0.00038348062241460787,0.0006063765600459838,0.001206909240899748,3.5174627640809347e-05,0.0008234286184851401,0.06072144916947079,0.005293913417483395,0.07268764696625782,0.001814525348382298,0.01196619779678703,0.06485247313360552,0.005517095453837317,0.07678669967931187,0.002046574278395812,0.011934226545706347
CDR cost (1st Gt CO₂),0.0009965554983457326,0.000802965725878522,0.002162066398361556,6.584531522206026e-05,0.0011655109000158232,0.4270264055824077,0.01054591002068138,0.44909406461119333,0.009126519448422223,0.022067659028785658,0.45126669074507386,0.011240527943879258,0.47464089894175676,0.009711114175142354,0.0233742081966829
Mitigation cost (50th Gt CO₂),-2.045618895518034e-05,0.0003093876204199843,0.00027573569018354133,1.0227504614802096e-05,0.0002961918791387217,0.011530464594357762,0.0019992525295136846,0.012908373013084378,0.00028315876153021756,0.0013779084187266165,0.01184514162186332,0.00205947527121585,0.013298069766712897,0.0002829310839685858,0.0014529281448495777
CDR cost (50th Gt CO₂),-0.00031020393827501383,0.0003118728545736179,0.0002634370231490056,9.63396239606445e-06,0.0005736409614240194,0.019788695182736595,0.003030433086310286,0.026352604469481365,0.0007708765010393306,0.00656390928674477,0.020902843599476726,0.0031516177673745396,0.027725185514033367,0.0007718016257768876,0.006822341914556641
