,Total Cost - S1 (First-order),Total Cost - S1_conf,Total Cost - ST (Total-order),Total Cost - ST_conf,Total Cost - Interaction (ST-S1),Total Mitigation - S1 (First-order),Total Mitigation - S1_conf,Total Mitigation - ST (Total-order),Total Mitigation - ST_conf,Total Mitigation - Interaction (ST-S1),Total Removal - S1 (First-order),Total Removal - S1_conf,Total Removal - ST (Total-order),Total Removal - ST_conf,Total Removal - Interaction (ST-S1)
TCRE,0.005744942872415523,0.0023046436333415844,0.014372539599343518,0.0005525364694468658,0.008627596726927995,0.24483836916328983,0.009609309115085186,0.2520928672185963,0.004789915200558868,0.00725449805530648,0.20218959372506146,0.008264856662195173,0.21089231944545472,0.00457459719500992,0.008702725720393267
Economic damage coefficient (per °C),0.5551927392429239,0.01427628734325532,0.6223254429967522,0.013604238884273033,0.0671327037538283,0.026588632685450458,0.004566341834789265,0.051896346604208735,0.0015316231780810254,0.025307713918758277,0.027227194544106707,0.004038352380117077,0.05364343436414224,0.0016983864976103638,0.026416239820035534
Discount rate,0.3628469399094896,0.012838539287740765,0.42682783109754585,0.010761835990724023,0.06398089118805628,0.006860648136000542,0.0021010252879359935,0.014574915519499564,0.0005702916809077014,0.007714267383499022,0.007087615804186981,0.0026218745898979544,0.014602401547945962,0.0005940559821613845,0.007514785743758981
Mitigation cost (1st Gt CO₂),0.0018154971056360302,0.0008157883975601216,0.002446317281616533,7.431213532210632e-05,0.0006308201759805028,0.07944863263545655,0.005937453180403759,0.0894193951241873,0.002010366863860662,0.009970762488730744,0.08470045194407884,0.006180237942285172,0.09516832704288979,0.0023092360710300647,0.010467875098810947
CDR cost (1st Gt CO₂),0.004353922198633936,0.0014727659611148889,0.006272868585789166,0.0001828347815784644,0.0019189463871552301,0.5469507901388194,0.011546357113784234,0.567399741289013,0.010858779002368119,0.02044895115019363,0.5766105844427907,0.012448410918320746,0.5982016290389353,0.011110832442933287,0.021591044596144582
Mitigation cost (50th Gt CO₂),0.0003819948049498151,0.0005213428715554391,0.0006803199914290451,2.4863953046508173e-05,0.00029832518647922995,0.024953258990597603,0.0029216923299867047,0.027065693553745468,0.000604465528100364,0.002112434563147865,0.02634848863404171,0.0030815347250974646,0.0283047658456862,0.0006262211724486641,0.0019562772116444894
CDR cost (50th Gt CO₂),0.00020653001066208527,0.0004325618046731371,0.00046362835968508396,1.8943141294543826e-05,0.0002570983490229987,0.031988553076023545,0.003817855846628547,0.04024456248691196,0.0011274739012202247,0.008256009410888415,0.03327008254911235,0.0039838540184208345,0.04251932795208264,0.0011974275214820156,0.009249245402970285
