parameter,S1,S1_conf,ST,ST_conf
tcre,0.26038312325437596,0.056836056788856976,0.27137717375583414,0.04650118956214835
econdampct,0.06316857821567387,0.03742054427725053,0.10184596429984881,0.018850106835525092
discrate,0.018697198752379122,0.02353119379289039,0.02906857491535091,0.005685543821915332
costmitiglow,0.030584527945754513,0.025724720393996748,0.04432079476086276,0.0073023477563274155
costremovlow,0.5600768256264534,0.0869238614077569,0.5849648212349295,0.07136621387014601
costmitigpeak,0.005230122968454041,0.009556896527728318,0.005319249626081912,0.0009146026022283771
costremovpeak,-0.0007933659597703366,0.021209242240503755,0.03744420729339827,0.005679132570856917
