parameter,S1,S1_conf,ST,ST_conf
tcre,0.3485153604082317,0.06558860664045037,0.3871777085856952,0.05200621759885685
econdampct,0.05409325302696231,0.03466853867459726,0.08773534190516025,0.017887468737064833
discrate,0.01566649905693063,0.01672193955826745,0.024279290163900506,0.005063450414751358
costmitiglow,0.024671341367576375,0.021990727187298262,0.03729495290218112,0.00602560905222954
costremovlow,0.49200936202473594,0.08781336612712799,0.49732280919317173,0.06833349720236002
costmitigpeak,0.0034784325171770443,0.006779043368233287,0.004812207755973662,0.0007889820104537631
costremovpeak,-0.0009040825836743887,0.019807226569694962,0.02927458060512367,0.005021853345985639
