,Total Cost First-order Index,Total Cost First-order Index Confidence,Total Cost Total-order Index,Total Cost Total-order Index Confidence,Total Mitigation First-order Index,Total Mitigation First-order Index Confidence,Total Mitigation Total-order Index,Total Mitigation Total-order Index Confidence,Total Removal First-order Index,Total Removal First-order Index Confidence,Total Removal Total-order Index,Total Removal Total-order Index Confidence
TCRE,0.010893069028132614,0.017437284055542755,0.024709256781282923,0.008512653458700952,0.1314579085336028,0.04828445255872397,0.20978442344195292,0.07275026914506247,0.035732332578924296,0.06279491839106628,0.13769454593793481,0.02567537539250606
Economic damage coefficient (per °C),0.4177016869660186,0.08354955713841729,0.5238531594766619,0.10446967601316837,0.08332715802712774,0.05139052306397863,0.20399244554667348,0.058948986767468584,0.016295374915867133,0.07314996234186186,0.20624242619397354,0.051403888106875184
Discount rate,0.4747914975796439,0.09169328706475434,0.5498102494309373,0.07924219889104087,0.02030345662691311,0.021647924825859234,0.08725605113356555,0.048574163358318774,0.022684146614311722,0.030303946342091728,0.08992322881173749,0.04323013178204708
Mitigation cost (1st Gt CO₂),0.0008365427075009429,0.001752830326106347,0.00020352889010108677,5.22026920300916e-05,0.009173981132090801,0.011942773286480215,0.014548866714929637,0.006294937226392673,0.008284536678724714,0.01592901155037095,0.014784854914269804,0.003647601620493653
CDR cost (1st Gt CO₂),0.0018010460215119762,0.012542922098179653,0.019846650155253224,0.009109607304793023,0.46470769173448523,0.08606110479558463,0.8391054695725656,0.18169058444421937,0.3988189418294343,0.0797396325119346,0.7581463073354805,0.16688404307509042
Mitigation cost (50th Gt CO₂),-2.6022047305601936e-05,0.001760044469081864,0.0001310532195866767,5.013112391465902e-05,0.01341327046222287,0.017588402753549903,0.02324726565848744,0.005926217534655374,0.008735029967510561,0.018987955082810704,0.0248643941003705,0.005337719320352054
CDR cost (50th Gt CO₂),-0.0017137963026205402,0.009267622649049791,0.010228915049189767,0.005916065732511059,0.052332230247503754,0.09549732639546535,0.4136478301768826,0.11168245759725323,0.04983763513814874,0.06560002851842965,0.36960327156114314,0.11486976193161583
