,r2_train,r2_test,rmse_test,mae_test
Total Cost,0.9915801189005377,0.983670867330595,95.20615158461621,60.05326271592853
Total Mitigation,0.9715931382208538,0.949562262276984,38.75191499658699,24.696385008653085
Total Removal,0.9722330452605028,0.9480560808791955,39.79668422600172,26.382347898955814
