,First-order Index,First-order Index Confidence,Total-order Index,Total-order Index Confidence
tcre,0.3841060119665886,0.08816347791171851,0.8105624423522254,0.20768022241050738
econdampct,0.12843030692648874,0.11599708861928258,0.3227375488575739,0.09767799171490435
discrate,0.07819690743002096,0.05097399200783255,0.18427652850637455,0.07257871680166474
costmitiglow,0.09411973613791115,0.08584968564707131,0.1820941300971302,0.051172292604141176
costremovlow,-0.015843603843355956,0.027369217605380546,0.07045863351919571,0.034238406163045784
costmitigpeak,0.022695113202763007,0.021738253832198847,0.023193483793369635,0.004699366643707742
costremovpeak,0.011152166105904828,0.012349513363270326,0.014293509749109595,0.004223095876710137
