,Total Cost - S1 (First-order),Total Cost - S1_conf,Total Cost - ST (Total-order),Total Cost - ST_conf,Total Cost - Interaction (ST-S1),Total Mitigation - S1 (First-order),Total Mitigation - S1_conf,Total Mitigation - ST (Total-order),Total Mitigation - ST_conf,Total Mitigation - Interaction (ST-S1),Total Removal - S1 (First-order),Total Removal - S1_conf,Total Removal - ST (Total-order),Total Removal - ST_conf,Total Removal - Interaction (ST-S1)
TCRE,0.004572706622409113,0.0018104331748108507,0.009394807689067532,0.0003083469108524722,0.004822101066658419,0.6223345184676172,0.014894289681971883,0.6421927927905959,0.010340766301267951,0.01985827432297871,0.5643568359722905,0.013020454572474301,0.5880751837524352,0.011673832616508452,0.0237183477801447
Economic damage coefficient (per °C),0.4963483994742209,0.013638293628290523,0.5990110065457163,0.014269153447933518,0.10266260707149538,0.03365884110368038,0.0050435234679694005,0.06444707528263345,0.0018520686663708555,0.030788234178953072,0.04038619819259987,0.004515825422411745,0.07415119238641137,0.0023473354866780753,0.033764994193811494
Discount rate,0.3945198305282454,0.014392991585116494,0.495578100184596,0.012750067928908483,0.10105826965635062,0.0028635090631615573,0.0012520087641465188,0.00552614933992043,0.0001929078890728694,0.0026626402767588723,0.0032607767411552114,0.0016508773480956773,0.006173010051012149,0.00023943697415506146,0.0029122333098569376
Mitigation cost (1st Gt CO₂),0.00022502648909414956,0.0004161228646064317,0.0006307750026303661,2.1240182101937184e-05,0.0004057485135362165,0.03696023726411221,0.004403562288539311,0.04473555942611764,0.0011984216382766595,0.007775322162005431,0.04242724897980737,0.004530517008628784,0.0516069977429607,0.0014431401392669243,0.009179748763153334
CDR cost (1st Gt CO₂),0.00023867793518850145,0.0004739178768655777,0.000748721274506943,2.5847288707941477e-05,0.0005100433393184416,0.2526863644263212,0.008442511481644233,0.2687446288044744,0.005712561852326283,0.01605826437815322,0.28944888377776945,0.009372451985545692,0.308891189318213,0.0067326280396931065,0.019442305540443572
Mitigation cost (50th Gt CO₂),-0.00012384358593403615,0.00024975366971436623,0.00018044429021039823,9.302627781632624e-06,0.0003042878761444344,0.0039398827527193855,0.0012734581017753396,0.004717211454376811,0.00010782003887965775,0.0007773287016574256,0.0045598045265849985,0.0013394944253178975,0.005370208299745458,0.00013066474666789717,0.0008104037731604596
CDR cost (50th Gt CO₂),8.662984040161482e-06,0.000391542211927727,0.00032710394038539285,1.0118874977984188e-05,0.0003184409563452314,0.008705802776233664,0.0021107578717563915,0.012762102844416829,0.0003981797200855757,0.0040563000681831645,0.009856575221790941,0.0021387135509438673,0.01422153693760354,0.0004033521847552562,0.004364961715812599
