,r2_train,r2_test,rmse_test,mae_test
Total Cost,0.9953603977886029,0.9740528525323696,171.91328860767783,104.27582987205105
Total Mitigation,0.9741009147217636,0.8496544116406957,121.53263582271856,64.7131806692182
Total Removal,0.9725490000738604,0.8413003338066593,121.1201713273918,66.33847831879773
