,Total Cost - S1 (First-order),Total Cost - S1_conf,Total Cost - ST (Total-order),Total Cost - ST_conf,Total Cost - Interaction (ST-S1),Total Mitigation - S1 (First-order),Total Mitigation - S1_conf,Total Mitigation - ST (Total-order),Total Mitigation - ST_conf,Total Mitigation - Interaction (ST-S1),Total Removal - S1 (First-order),Total Removal - S1_conf,Total Removal - ST (Total-order),Total Removal - ST_conf,Total Removal - Interaction (ST-S1)
TCRE,0.012732416078372812,0.0032365674503912574,0.027260859928017356,0.0011723428113559456,0.014528443849644544,0.11885552329591986,0.00795034099476729,0.168123796138589,0.006518781861456524,0.04926827284266913,0.06736034840452643,0.007144312218753652,0.11670405350389876,0.003229362002638037,0.04934370509937233
Economic damage coefficient (per °C),0.40274253710896873,0.01294739274567953,0.5019667639711775,0.013684811131353156,0.09922422686220872,0.026446406578154103,0.007777864143789208,0.15248935725540264,0.006504436134567244,0.12604295067724852,0.02646586075295067,0.007970525115576048,0.1565884371469364,0.0065941463045766455,0.13012257639398572
Discount rate,0.4519518773797644,0.01456926215247331,0.547386492236271,0.014506255383444027,0.09543461485650662,0.005048833182103955,0.004563197478827516,0.05128368424237873,0.0027470971563929615,0.04623485106027478,0.00552720734034424,0.004555197116189753,0.05342621280048902,0.0026373455739830513,0.047899005460144785
Mitigation cost (1st Gt CO₂),0.001291394354322872,0.0008093552206678455,0.0016366965581845452,5.619695691281649e-05,0.0003453022038616732,0.01838051811716566,0.0033468801415355827,0.027567406226282287,0.0009895682293243001,0.009186888109116626,0.0192834308518063,0.003547790751956743,0.029648946801733023,0.0010316077849784123,0.010365515949926723
CDR cost (1st Gt CO₂),0.012810059987185506,0.0042738730849334145,0.03521723404384409,0.0021058293345954235,0.022407174056658583,0.45926750637298913,0.015406936659984471,0.6881924403752189,0.024982561269701598,0.22892493400222974,0.4930125720467425,0.014079443612083449,0.7279668611957889,0.026181806078362107,0.23495428914904642
Mitigation cost (50th Gt CO₂),0.0006518952854152149,0.0008213218076786367,0.0014801444671735942,6.62276886338209e-05,0.0008282491817583793,0.026370682442241583,0.0037385517001801974,0.03382333403868709,0.001020986993628546,0.007452651596445509,0.027572960594879934,0.003916659097687674,0.03575366652200325,0.0009571168157076238,0.008180705927123316
CDR cost (50th Gt CO₂),0.002012437726994469,0.0025010689034719374,0.019987755333108922,0.0016717590825699395,0.01797531760611445,0.021359996013533066,0.012243847573625486,0.3095435900405984,0.014955814169291457,0.28818359402706534,0.024216599904034145,0.014025341455686638,0.3239102065308929,0.015337237090125244,0.2996936066268588
