,r2_train,r2_test,rmse_test,mae_test,overfit_gap,n_estimators_used
Total Cost,0.9952772606603478,0.9837492009248088,136.0510815308528,76.29079559140162,0.011528059735539053,946.0
Total Mitigation,0.9506715277692028,0.840147988871266,125.31602909126784,62.40696922260272,0.11052353889793687,856.0
Total Removal,0.9267369254542785,0.8308591940367025,125.04106606196426,62.95592965632207,0.09587773141757605,582.0
