label,effect,scaled effect
tcre,0.039993075786441935,0.04005611851029447
costmitigunit,0.11542744753758877,0.1156094005521299
costremovunit,0.0064550842309271305,0.006465259644660953
econdampct,0.012339384871219805,0.0123588359491289
discrate,0.8242111475445154,0.8255103853437857
