parameter,importance,importance_pct
tcre,0.9999977855168624,99.99977855168623
econdampct,3.954483216472055e-07,3.954483216472055e-05
costmitiglow,3.8000326751027187e-07,3.8000326751027184e-05
costremovlow,3.731272076723603e-07,3.731272076723603e-05
discrate,3.6027547733801405e-07,3.60275477338014e-05
costremovpeak,3.569737872800519e-07,3.569737872800519e-05
costmitigpeak,3.486550761589132e-07,3.486550761589132e-05
