label,effect,scaled effect,lower,upper
tcre,0.09837648818348127,0.09921543303276972,0.09419068504212816,0.10464262600600094
costmitigunit,0.00594434885472637,0.005995041667065281,0.00443756117646167,0.0077554101938559624
costremovunit,0.0003391968083033899,0.0003420894447501236,9.58544049577823e-05,0.0006567307989771408
econdampct,0.0043682433017547,0.004405495243617179,0.0028778304241854572,0.0060572420956309676
discrate,0.8825159330250512,0.8900419406117976,0.883928533584514,0.8958118032983778
