parameter,correlation,importance_scaled
discrate,0.7269620822054447,
econdampct,0.5886459069838939,
tcre,0.13356092553851476,
costremovlow,0.05549756698628872,
costmitiglow,0.03158464534638178,
costremovpeak,0.027644086857095074,
costmitigpeak,0.013394819365862705,
costmitigunit,,
costremovunit,,
