derived_labels,index
costmitigunit,0.08788796785431359
costmitigunit_costremovunit,0.001089850345907383
costmitigunit_discrate,0.05154865328890737
costmitigunit_econdampct,3.6586355835404435e-05
costremovunit,0.004788457423709298
costremovunit_discrate,0.0022059841008982032
costremovunit_econdampct,1.1953611690846215e-05
discrate,0.7881366883802775
econdampct,0.01048166563012323
econdampct_discrate,0.003573257434315007
tcre,0.03132107602816877
tcre_costmitigunit,0.0024038693759001945
tcre_costremovunit,2.5465555939232923e-05
tcre_discrate,0.014821023504355013
tcre_econdampct,9.364108035189141e-05
