parameter,rf_importance,corr_importance,combined_importance
tcre,0.028431777205684686,,
costmitigunit,0.0,,
costremovunit,0.0,,
econdampct,0.38115628883067304,,
discrate,0.5816096091354234,,
costmitiglow,0.0015450316452042324,,
costremovlow,0.004252506850646281,,
costmitigpeak,0.0010011610073819438,,
costremovpeak,0.0020036253249864524,,
