label,effect,scaled effect,lower,upper
tcre,0.20944156636944672,0.20974192674994138,0.20688820745012373,0.21257287113042084
costmitigunit,0.034443270063062886,0.034492665194511496,0.033081980912198355,0.03606034315506259
costremovunit,0.0020887853503970756,0.002091780879763535,0.0017680123968751116,0.0024293331128149858
econdampct,0.004879577234431856,0.00488657504150613,0.0043623649560661955,0.005439569913834067
discrate,0.7477147535844664,0.7487870521342774,0.7459992653797658,0.7516808168861675
