parameter,importance,importance_scaled
discrate,0.5816096091354234,0.5816096091354234
econdampct,0.38115628883067304,0.38115628883067304
tcre,0.028431777205684686,0.028431777205684686
costremovlow,0.004252506850646281,0.004252506850646281
costremovpeak,0.0020036253249864524,0.0020036253249864524
costmitiglow,0.0015450316452042324,0.0015450316452042324
costmitigpeak,0.0010011610073819438,0.0010011610073819438
costmitigunit,0.0,0.0
costremovunit,0.0,0.0
