parameter,correlation,importance_scaled
econdampct,0.10583936382010121,
discrate,0.043757984589121654,
costremovlow,0.02353359799436285,
costremovpeak,0.021622503410989334,
tcre,0.010663580769207301,
costmitiglow,0.006425534358427469,
costmitigpeak,0.0020052534188292016,
costmitigunit,,
costremovunit,,
