derived_labels,index,lower,upper
costmitigunit,0.0045098061697650465,0.003238525769792571,0.006000447144411378
costmitigunit_discrate,0.0013864417795872801,0.0008403720186583867,0.0021338409602895242
costmitigunit_econdampct,0.00038423230190206734,8.054277082672999e-05,0.0008563988050581377
costmitigunit_econdampct_discrate,0.0004855581662050167,7.917810660309778e-05,0.0011042634682442898
costremovunit_discrate,0.00024629454756570495,1.962702418052746e-05,0.000697747279801766
costremovunit_econdampct,0.00015856102679831543,-7.823969283918952e-06,0.0004955498141996679
discrate,0.8626953992033628,0.856426541609574,0.8693297906969566
econdampct,0.0027701088720945522,0.0018798185034822209,0.003969104410951951
econdampct_discrate,0.001928839076195611,0.0010573130712211247,0.0030249089159662653
tcre,0.08024702204094558,0.07556715603551888,0.08538622259320375
tcre_costmitigunit,0.0002296074469368957,-1.0384834562533719e-05,0.0006428321551709388
tcre_costmitigunit_costremovunit_econdampct,0.0005470760844855186,6.698689470015045e-05,0.0012590263981756425
tcre_costmitigunit_discrate,0.00021625108060815,-4.7624296025406136e-07,0.0006371815454536853
tcre_costmitigunit_econdampct_discrate,0.00025478593608972943,2.507663188015851e-05,0.0006130813994955867
tcre_discrate,0.03548422644077475,0.032681414089563536,0.03809377067748481
