label,effect,scaled effect,lower,upper
tcre,0.09837648818348127,0.09921543303276972,0.09423503590761655,0.10434895849878761
costmitigunit,0.00594434885472637,0.005995041667065281,0.004539255372135809,0.007921140275935101
costremovunit,0.0003391968083033899,0.0003420894447501236,0.0001060599147776444,0.0006715016710551873
econdampct,0.0043682433017547,0.004405495243617179,0.0029843009718938567,0.006189606337586616
discrate,0.8825159330250512,0.8900419406117976,0.8840018673508394,0.895412697677333
