parameter,rf_importance,corr_importance,combined_importance
tcre,0.13472589218807113,,
costmitigunit,0.0,,
costremovunit,0.0,,
econdampct,0.17006387717829546,,
discrate,0.14196437907422219,,
costmitiglow,0.13663110022819377,,
costremovlow,0.1459183558988693,,
costmitigpeak,0.12859716898963616,,
costremovpeak,0.142099226442712,,
