parameter,importance,importance_scaled
tcre,0.23046921398045703,0.23046921398045705
econdampct,0.1635266797810818,0.16352667978108182
costremovpeak,0.1309319224290152,0.13093192242901522
costremovlow,0.13090628064721854,0.13090628064721857
discrate,0.12903430891388726,0.12903430891388729
costmitigpeak,0.10809208125501041,0.10809208125501042
costmitiglow,0.10703951299332966,0.10703951299332967
costmitigunit,0.0,0.0
costremovunit,0.0,0.0
