derived_labels,index,lower,upper
costmitigunit,0.02185719175568999,0.020644605440962794,0.02318490541111529
costmitigunit_costremovunit,0.00020951005867884506,0.00010549983518944533,0.00035722053032635705
costmitigunit_costremovunit_discrate,0.00030284988254554603,0.00020096759815961275,0.00043760608572967217
costmitigunit_discrate,0.017764576699934084,0.016826914567291407,0.01864500302415579
costremovunit,0.000691826954110567,0.0004945570443094454,0.0009312780855499858
costremovunit_discrate,0.0019866971931180393,0.0016599637321959542,0.002367190985023478
discrate,0.676157594446478,0.67291249419918,0.6793089759685401
econdampct,0.003345589148881111,0.0029261259281275365,0.0037905404710912405
econdampct_discrate,0.0017736540489075717,0.0014793191856461037,0.0021360718852792924
tcre,0.14588411266119172,0.14265566705954463,0.14908684409925915
tcre_costmitigunit,0.004585727814363486,0.003954544160675623,0.005206351390150587
tcre_costmitigunit_costremovunit,7.584859550035597e-05,1.4532324250920983e-05,0.00019093957581395874
tcre_costmitigunit_discrate,0.003539814584608155,0.0031070682482552702,0.003991575470088055
tcre_costremovunit,0.00016365078127578378,6.0784411062350736e-05,0.00031325538470353923
tcre_costremovunit_discrate,0.0002723896612046207,0.00014395264006524867,0.00042650658355820344
tcre_discrate,0.11847917147113471,0.11590319129903956,0.12113307614178853
tcre_econdampct,0.0009274726782170656,0.0007177385550541157,0.0012054985872501987
tcre_econdampct_discrate,0.0005502741659652795,0.000352165222105593,0.0007951050649611703
