derived_labels,index,lower,upper
costmitigunit,0.02185719175568999,0.02049312804477903,0.023170996645117205
costmitigunit_costremovunit,0.00020951005867884506,0.00010509393221327293,0.00035543924553798213
costmitigunit_costremovunit_discrate,0.00030284988254554603,0.0002023110111157256,0.00044459242068004565
costmitigunit_discrate,0.017764576699934084,0.016859766802849008,0.018661550866782558
costremovunit,0.000691826954110567,0.0004939267025896748,0.0009380774502280188
costremovunit_discrate,0.0019866971931180393,0.0016816069252258321,0.0024050740731189693
discrate,0.676157594446478,0.6729114457065212,0.6794039106860748
econdampct,0.003345589148881111,0.002952260033845676,0.00382322572986219
econdampct_discrate,0.0017736540489075717,0.0014832308660894995,0.0021154742831526133
tcre,0.14588411266119172,0.1426837062990203,0.1488243551220024
tcre_costmitigunit,0.004585727814363486,0.004005363869643845,0.0052441396268507095
tcre_costmitigunit_costremovunit,7.584859550035597e-05,9.548890336788084e-06,0.0001863587070978031
tcre_costmitigunit_discrate,0.003539814584608155,0.003078840034933186,0.004044237454487337
tcre_costremovunit,0.00016365078127578378,6.764076403612759e-05,0.00029833086025126505
tcre_costremovunit_discrate,0.0002723896612046207,0.00015884823203568047,0.0004307418104345545
tcre_discrate,0.11847917147113471,0.11607264198583137,0.12110185373444263
tcre_econdampct,0.0009274726782170656,0.0006970606774037678,0.0011939720963392913
tcre_econdampct_discrate,0.0005502741659652795,0.0003552869359029385,0.0008247262406305031
