parameter,importance,importance_scaled
econdampct,0.17006387717829546,0.17006387717829546
costremovlow,0.1459183558988693,0.1459183558988693
costremovpeak,0.142099226442712,0.142099226442712
discrate,0.14196437907422219,0.14196437907422219
costmitiglow,0.13663110022819377,0.13663110022819377
tcre,0.13472589218807113,0.13472589218807113
costmitigpeak,0.12859716898963616,0.12859716898963616
costmitigunit,0.0,0.0
costremovunit,0.0,0.0
