derived_labels,index,lower,upper
costmitigunit,0.0045098061697650465,0.0033623849906401016,0.006072738397368415
costmitigunit_discrate,0.0013864417795872801,0.0008520469899075871,0.0020891705290141485
costmitigunit_econdampct,0.00038423230190206734,7.202392813502695e-05,0.0009113503206601742
costmitigunit_econdampct_discrate,0.0004855581662050167,6.859014720614088e-05,0.0010794108709590378
costremovunit_discrate,0.00024629454756570495,3.6377913665408123e-06,0.000653510804667843
costremovunit_econdampct,0.00015856102679831543,-8.792910745206877e-06,0.0004840489723586907
discrate,0.8626953992033628,0.8559158965398534,0.8691082874662143
econdampct,0.0027701088720945522,0.0018717221020159796,0.003988887178538282
econdampct_discrate,0.001928839076195611,0.0011544071506042705,0.003033606608175961
tcre,0.08024702204094558,0.07565240999505946,0.08532099845626859
tcre_costmitigunit,0.0002296074469368957,1.0964247444140643e-05,0.0006498932705385674
tcre_costmitigunit_costremovunit_econdampct,0.0005470760844855186,9.373514020525697e-05,0.0013632089919012125
tcre_costmitigunit_discrate,0.00021625108060815,6.880631913366077e-06,0.0005816969301107631
tcre_costmitigunit_econdampct_discrate,0.00025478593608972943,9.529177997617008e-06,0.0006395769125352988
tcre_discrate,0.03548422644077475,0.03259302666419513,0.03857941560389674
