label,effect,scaled effect
tcre,0.9999976894746316,0.9999983601874171
costmitigunit,1.5999053562478733e-07,1.5999064293273306e-07
costremovunit,1.0597834834060021e-07,1.0597841942179765e-07
econdampct,1.833730425529236e-08,1.8337316554385194e-08
discrate,1.3555052948633046e-06,1.3555062040201372e-06
