parameter,correlation,importance_scaled
tcre,0.3260829457301139,
econdampct,0.14204631903351714,
costremovlow,0.0687855616981804,
discrate,0.03704625296344034,
costremovpeak,0.03021791173253331,
costmitiglow,0.02711372296315589,
costmitigpeak,0.0031890239101897326,
costmitigunit,,
costremovunit,,
