label,effect,scaled effect,lower,upper
tcre,0.04209255953718583,0.04210718210213549,0.04104059491746756,0.04305827588730677
costmitigunit,0.1140312258952969,0.11407083928600718,0.11247554451572343,0.11550505733350261
costremovunit,0.010771109470046222,0.010774851253618836,0.010138654541692346,0.011440098007756456
econdampct,0.01792459537460254,0.017930822212859545,0.017393544920156337,0.018412361171337623
discrate,0.8148332396321228,0.8151163051453789,0.8134755117620485,0.816859659792829
