parameter,rf_importance,corr_importance,combined_importance
tcre,0.23046921398045705,,
costmitigunit,0.0,,
costremovunit,0.0,,
econdampct,0.16352667978108182,,
discrate,0.12903430891388729,,
costmitiglow,0.10703951299332967,,
costremovlow,0.13090628064721857,,
costmitigpeak,0.10809208125501042,,
costremovpeak,0.13093192242901522,,
